100	1150.168579	5.573914
200	6649.118652	2.314735
300	20196.341797	4.586179
400	46509.207031	4.407754
500	89639.843750	8.295527
600	153704.359375	7.621111
700	242624.578125	7.973507
800	359602.312500	9.150035
900	509016.406250	9.653184
1000	695958.125000	10.645694
1100	923626.812500	12.711076
1200	1196605.750000	12.285711
1300	1518676.375000	14.757674
1400	1893666.500000	14.721367
1500	2326098.500000	16.081869
1600	2819743.500000	17.467638
1700	3378348.500000	18.564983
1800	4005521.000000	18.795300
1900	4708483.000000	19.910000
2000	5487073.500000	19.686329
